data;
set Nv:=1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22;

set Np:= 1 2 3 4 5 6 7 8 9 10;

set Nd:= 11 12 13 14 15 16 17 18 19 20;

param o:= 21;

param d:= 22;

param Q:=
1	333
2	1333
3	1000
4	1333
5	333
6	2333
7	333
8	1667
9	2333
10	1000;


param K:= 10000;

param BigM=25;
param cs:= 999999;


param D:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22:=
1	0	0.518155691	0.570269454	0.533039304	0.343311462	0.257207484	0.279738253	0.515766391	0.254791542	0.616996596	0.257850208	0.508685522	0.316676002	0.254310991	0.410600304	0.241564919	0.149156193	0.674211614	0.50715123	0.264883144	0.337119118	0.337119118
2	0.518155691	0	0.064034444	0.057754134	0.268621965	0.519979202	0.245738825	0.907590398	0.265104602	0.631815321	0.51475059	0.025384247	0.496034646	0.689660119	0.73142098	0.624317235	0.619323445	0.692892733	0.031794496	0.61771249	0.520897936	0.520897936
3	0.570269454	0.064034444	0	0.103148485	0.332652627	0.583335032	0.292651773	0.9708902	0.315529903	0.689728679	0.543519512	0.087069914	0.560056033	0.727750816	0.795280202	0.686224701	0.677263671	0.749891999	0.063359293	0.649679159	0.540603598	0.540603598
4	0.533039304	0.057754134	0.103148485	0	0.249786509	0.506294351	0.272760646	0.892730334	0.286872463	0.587292108	0.554200298	0.039755503	0.475061017	0.720227145	0.712529277	0.616790961	0.622779134	0.647085775	0.08923413	0.654042827	0.566198163	0.566198163
5	0.343311462	0.268621965	0.332652627	0.249786509	0	0.256912845	0.206437908	0.64294716	0.188861139	0.411509271	0.472813124	0.246951412	0.227438365	0.578636916	0.463696549	0.371107222	0.394976265	0.476060185	0.278515368	0.545361898	0.519302243	0.519302243
6	0.257207484	0.519979202	0.583335032	0.506294351	0.256912845	0	0.363197605	0.387614886	0.331953009	0.365254336	0.498495677	0.500247949	0.071589105	0.504669644	0.216737722	0.123753384	0.199928987	0.419584997	0.52468421	0.521602617	0.571104027	0.571104027
7	0.279738253	0.245738825	0.292651773	0.272760646	0.206437908	0.363197605	0	0.732347732	0.03166228	0.612506759	0.292752523	0.241303564	0.372441271	0.447484581	0.577845948	0.436532931	0.400507803	0.677049459	0.230407509	0.385337372	0.323928403	0.323928403
8	0.515766391	0.907590398	0.9708902	0.892730334	0.64294716	0.387614886	0.732347732	0	0.700776783	0.537323078	0.765553316	0.887791558	0.421449048	0.662981576	0.187749461	0.296059791	0.367160047	0.550515622	0.911813983	0.734855448	0.846573169	0.846573169
9	0.254791542	0.265104602	0.315529903	0.286872463	0.188861139	0.331953009	0.03166228	0.700776783	0	0.589273459	0.294155503	0.25812464	0.342855363	0.43624994	0.546318771	0.405026542	0.371109148	0.653679287	0.252523425	0.380782366	0.332697415	0.332697415
10	0.616996596	0.631815321	0.689728679	0.587292108	0.411509271	0.365254336	0.612506759	0.537323078	0.589273459	0	0.834993467	0.606462266	0.300430907	0.868723846	0.375517097	0.450314745	0.557396708	0.064609752	0.6535553	0.876342878	0.897707135	0.897707135
11	0.257850208	0.51475059	0.543519512	0.554200298	0.472813124	0.498495677	0.292752523	0.765553316	0.294155503	0.834993467	0	0.517886329	0.544925628	0.207979254	0.668364706	0.499407649	0.400240153	0.896652201	0.490516972	0.109714402	0.081070402	0.081070402
12	0.508685522	0.025384247	0.087069914	0.039755503	0.246951412	0.500247949	0.241303564	0.887791558	0.25812464	0.606462266	0.517886329	0	0.474333227	0.687850333	0.710435001	0.606566872	0.605375958	0.667512172	0.052860288	0.619049756	0.527889401	0.527889401
13	0.316676002	0.496034646	0.560056033	0.475061017	0.227438365	0.071589105	0.372441271	0.421449048	0.342855363	0.300430907	0.544925628	0.474333227	0	0.568499296	0.237765094	0.188893886	0.271460126	0.357771673	0.504880699	0.577871344	0.613524906	0.613524906
14	0.254310991	0.689660119	0.727750816	0.720227145	0.578636916	0.504669644	0.447484581	0.662981576	0.43624994	0.868723846	0.207979254	0.687850333	0.568499296	0	0.615038251	0.454284856	0.336636258	0.924221153	0.669674585	0.107244207	0.266302272	0.266302272
15	0.410600304	0.73142098	0.795280202	0.712529277	0.463696549	0.216737722	0.577845948	0.187749461	0.546318771	0.375517097	0.668364706	0.710435001	0.237765094	0.615038251	0	0.16917689	0.280364691	0.402813567	0.738259169	0.663335307	0.746960273	0.746960273
16	0.241564919	0.624317235	0.686224701	0.616790961	0.371107222	0.123753384	0.436532931	0.296059791	0.405026542	0.450314745	0.499407649	0.606566872	0.188893886	0.454284856	0.16917689	0	0.118120701	0.495772418	0.625173656	0.495808481	0.578352911	0.578352911
17	0.149156193	0.619323445	0.677263671	0.622779134	0.394976265	0.199928987	0.400507803	0.367160047	0.371109148	0.557396708	0.400240153	0.605375958	0.271460126	0.336636258	0.280364691	0.118120701	0	0.606651341	0.614157504	0.383920994	0.480948989	0.480948989
18	0.674211614	0.692892733	0.749891999	0.647085775	0.476060185	0.419584997	0.677049459	0.550515622	0.653679287	0.064609752	0.896652201	0.667512172	0.357771673	0.924221153	0.402813567	0.495772418	0.606651341	0	0.715313868	0.935366891	0.960359703	0.960359703
19	0.50715123	0.031794496	0.063359293	0.08923413	0.278515368	0.52468421	0.230407509	0.911813983	0.252523425	0.6535553	0.490516972	0.052860288	0.504880699	0.669674585	0.738259169	0.625173656	0.614157504	0.715313868	0	0.594868095	0.493686388	0.493686388
20	0.264883144	0.61771249	0.649679159	0.654042827	0.545361898	0.521602617	0.385337372	0.734855448	0.380782366	0.876342878	0.109714402	0.619049756	0.577871344	0.107244207	0.663335307	0.495808481	0.383920994	0.935366891	0.594868095	0	0.159303045	0.159303045
21	0.337119118	0.520897936	0.540603598	0.566198163	0.519302243	0.571104027	0.323928403	0.846573169	0.332697415	0.897707135	0.081070402	0.527889401	0.613524906	0.266302272	0.746960273	0.578352911	0.480948989	0.960359703	0.493686388	0.159303045	0	0
22	0.337119118	0.520897936	0.540603598	0.566198163	0.519302243	0.571104027	0.323928403	0.846573169	0.332697415	0.897707135	0.081070402	0.527889401	0.613524906	0.266302272	0.746960273	0.578352911	0.480948989	0.960359703	0.493686388	0.159303045	0	0
;





